,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,IsReturn,TransactionType,TotalAmount,Year,Month,Day,Hour,Weekday
0,536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 08:26:00,2.55,17850,United Kingdom,False,Sale,15.3,2010,12,1,8,2
1,536365,71053,WHITE METAL LANTERN,6,2010-12-01 08:26:00,3.39,17850,United Kingdom,False,Sale,20.34,2010,12,1,8,2
2,536365,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-12-01 08:26:00,2.75,17850,United Kingdom,False,Sale,22.0,2010,12,1,8,2
3,536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2010-12-01 08:26:00,3.39,17850,United Kingdom,False,Sale,20.34,2010,12,1,8,2
4,536365,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-01 08:26:00,3.39,17850,United Kingdom,False,Sale,20.34,2010,12,1,8,2
5,536365,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-12-01 08:26:00,7.65,17850,United Kingdom,False,Sale,15.3,2010,12,1,8,2
6,536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2010-12-01 08:26:00,4.25,17850,United Kingdom,False,Sale,25.5,2010,12,1,8,2
7,536366,22633,HAND WARMER UNION JACK,6,2010-12-01 08:28:00,1.85,17850,United Kingdom,False,Sale,11.1,2010,12,1,8,2
8,536366,22632,HAND WARMER RED POLKA DOT,6,2010-12-01 08:28:00,1.85,17850,United Kingdom,False,Sale,11.1,2010,12,1,8,2
9,536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2010-12-01 08:34:00,1.69,13047,United Kingdom,False,Sale,54.08,2010,12,1,8,2
10,536367,22745,POPPY'S PLAYHOUSE BEDROOM ,6,2010-12-01 08:34:00,2.1,13047,United Kingdom,False,Sale,12.6,2010,12,1,8,2
11,536367,22748,POPPY'S PLAYHOUSE KITCHEN,6,2010-12-01 08:34:00,2.1,13047,United Kingdom,False,Sale,12.6,2010,12,1,8,2
12,536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,2010-12-01 08:34:00,3.75,13047,United Kingdom,False,Sale,30.0,2010,12,1,8,2
13,536367,22310,IVORY KNITTED MUG COSY ,6,2010-12-01 08:34:00,1.65,13047,United Kingdom,False,Sale,9.9,2010,12,1,8,2
14,536367,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,2010-12-01 08:34:00,4.25,13047,United Kingdom,False,Sale,25.5,2010,12,1,8,2
15,536367,22623,BOX OF VINTAGE JIGSAW BLOCKS ,3,2010-12-01 08:34:00,4.95,13047,United Kingdom,False,Sale,14.85,2010,12,1,8,2
16,536367,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,2010-12-01 08:34:00,9.95,13047,United Kingdom,False,Sale,19.9,2010,12,1,8,2
17,536367,21754,HOME BUILDING BLOCK WORD,3,2010-12-01 08:34:00,5.95,13047,United Kingdom,False,Sale,17.85,2010,12,1,8,2
18,536367,21755,LOVE BUILDING BLOCK WORD,3,2010-12-01 08:34:00,5.95,13047,United Kingdom,False,Sale,17.85,2010,12,1,8,2
19,536367,21777,RECIPE BOX WITH METAL HEART,4,2010-12-01 08:34:00,7.95,13047,United Kingdom,False,Sale,31.8,2010,12,1,8,2
20,536367,48187,DOORMAT NEW ENGLAND,4,2010-12-01 08:34:00,7.95,13047,United Kingdom,False,Sale,31.8,2010,12,1,8,2
21,536368,22960,JAM MAKING SET WITH JARS,6,2010-12-01 08:34:00,4.25,13047,United Kingdom,False,Sale,25.5,2010,12,1,8,2
22,536368,22913,RED COAT RACK PARIS FASHION,3,2010-12-01 08:34:00,4.95,13047,United Kingdom,False,Sale,14.85,2010,12,1,8,2
23,536368,22912,YELLOW COAT RACK PARIS FASHION,3,2010-12-01 08:34:00,4.95,13047,United Kingdom,False,Sale,14.85,2010,12,1,8,2
24,536368,22914,BLUE COAT RACK PARIS FASHION,3,2010-12-01 08:34:00,4.95,13047,United Kingdom,False,Sale,14.85,2010,12,1,8,2
25,536369,21756,BATH BUILDING BLOCK WORD,3,2010-12-01 08:35:00,5.95,13047,United Kingdom,False,Sale,17.85,2010,12,1,8,2
26,536370,22728,ALARM CLOCK BAKELIKE PINK,24,2010-12-01 08:45:00,3.75,12583,France,False,Sale,90.0,2010,12,1,8,2
27,536370,22727,ALARM CLOCK BAKELIKE RED ,24,2010-12-01 08:45:00,3.75,12583,France,False,Sale,90.0,2010,12,1,8,2
28,536370,22726,ALARM CLOCK BAKELIKE GREEN,12,2010-12-01 08:45:00,3.75,12583,France,False,Sale,45.0,2010,12,1,8,2
29,536370,21724,PANDA AND BUNNIES STICKER SHEET,12,2010-12-01 08:45:00,0.85,12583,France,False,Sale,10.2,2010,12,1,8,2
30,536370,21883,STARS GIFT TAPE ,24,2010-12-01 08:45:00,0.65,12583,France,False,Sale,15.6,2010,12,1,8,2
31,536370,10002,INFLATABLE POLITICAL GLOBE ,48,2010-12-01 08:45:00,0.85,12583,France,False,Sale,40.8,2010,12,1,8,2
32,536370,21791,VINTAGE HEADS AND TAILS CARD GAME ,24,2010-12-01 08:45:00,1.25,12583,France,False,Sale,30.0,2010,12,1,8,2
33,536370,21035,SET/2 RED RETROSPOT TEA TOWELS ,18,2010-12-01 08:45:00,2.95,12583,France,False,Sale,53.1,2010,12,1,8,2
34,536370,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,24,2010-12-01 08:45:00,2.95,12583,France,False,Sale,70.80000000000001,2010,12,1,8,2
35,536370,22629,SPACEBOY LUNCH BOX ,24,2010-12-01 08:45:00,1.95,12583,France,False,Sale,46.8,2010,12,1,8,2
36,536370,22659,LUNCH BOX I LOVE LONDON,24,2010-12-01 08:45:00,1.95,12583,France,False,Sale,46.8,2010,12,1,8,2
37,536370,22631,CIRCUS PARADE LUNCH BOX ,24,2010-12-01 08:45:00,1.95,12583,France,False,Sale,46.8,2010,12,1,8,2
38,536370,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,2010-12-01 08:45:00,0.85,12583,France,False,Sale,17.0,2010,12,1,8,2
39,536370,21731,RED TOADSTOOL LED NIGHT LIGHT,24,2010-12-01 08:45:00,1.65,12583,France,False,Sale,39.6,2010,12,1,8,2
40,536370,22900, SET 2 TEA TOWELS I LOVE LONDON ,24,2010-12-01 08:45:00,2.95,12583,France,False,Sale,70.80000000000001,2010,12,1,8,2
41,536370,21913,VINTAGE SEASIDE JIGSAW PUZZLES,12,2010-12-01 08:45:00,3.75,12583,France,False,Sale,45.0,2010,12,1,8,2
42,536370,22540,MINI JIGSAW CIRCUS PARADE ,24,2010-12-01 08:45:00,0.42,12583,France,False,Sale,10.08,2010,12,1,8,2
43,536370,22544,MINI JIGSAW SPACEBOY,24,2010-12-01 08:45:00,0.42,12583,France,False,Sale,10.08,2010,12,1,8,2
44,536370,22492,MINI PAINT SET VINTAGE ,36,2010-12-01 08:45:00,0.65,12583,France,False,Sale,23.4,2010,12,1,8,2
45,536370,POST,POSTAGE,3,2010-12-01 08:45:00,18.0,12583,France,False,Sale,54.0,2010,12,1,8,2
46,536371,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,80,2010-12-01 09:00:00,2.55,13748,United Kingdom,False,Sale,204.0,2010,12,1,9,2
47,536372,22632,HAND WARMER RED POLKA DOT,6,2010-12-01 09:01:00,1.85,17850,United Kingdom,False,Sale,11.1,2010,12,1,9,2
48,536372,22633,HAND WARMER UNION JACK,6,2010-12-01 09:01:00,1.85,17850,United Kingdom,False,Sale,11.1,2010,12,1,9,2
49,536373,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 09:02:00,2.55,17850,United Kingdom,False,Sale,15.3,2010,12,1,9,2
50,536373,71053,WHITE METAL LANTERN,6,2010-12-01 09:02:00,3.39,17850,United Kingdom,False,Sale,20.34,2010,12,1,9,2
51,536373,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-12-01 09:02:00,2.75,17850,United Kingdom,False,Sale,22.0,2010,12,1,9,2
52,536373,20679,EDWARDIAN PARASOL RED,6,2010-12-01 09:02:00,4.95,17850,United Kingdom,False,Sale,29.700000000000003,2010,12,1,9,2
53,536373,37370,RETRO COFFEE MUGS ASSORTED,6,2010-12-01 09:02:00,1.06,17850,United Kingdom,False,Sale,6.36,2010,12,1,9,2
54,536373,21871,SAVE THE PLANET MUG,6,2010-12-01 09:02:00,1.06,17850,United Kingdom,False,Sale,6.36,2010,12,1,9,2
55,536373,21071,VINTAGE BILLBOARD DRINK ME MUG,6,2010-12-01 09:02:00,1.06,17850,United Kingdom,False,Sale,6.36,2010,12,1,9,2
56,536373,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,2010-12-01 09:02:00,1.06,17850,United Kingdom,False,Sale,6.36,2010,12,1,9,2
57,536373,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,2010-12-01 09:02:00,4.95,17850,United Kingdom,False,Sale,9.9,2010,12,1,9,2
58,536373,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,2010-12-01 09:02:00,6.95,17850,United Kingdom,False,Sale,27.8,2010,12,1,9,2
59,536373,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-01 09:02:00,2.1,17850,United Kingdom,False,Sale,12.6,2010,12,1,9,2
60,536373,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2010-12-01 09:02:00,2.55,17850,United Kingdom,False,Sale,15.3,2010,12,1,9,2
61,536373,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2010-12-01 09:02:00,3.39,17850,United Kingdom,False,Sale,20.34,2010,12,1,9,2
62,536373,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-01 09:02:00,3.39,17850,United Kingdom,False,Sale,20.34,2010,12,1,9,2
63,536373,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-12-01 09:02:00,7.65,17850,United Kingdom,False,Sale,15.3,2010,12,1,9,2
